source_id,ra,dec,phot_g_mean_mag,g_rp,qf,F6,F8,F10,mem_prob,Class
604905053690766208,132.97035923901612,11.776606866665617,15.615606307983398,0.7374296188354492,1,1.0,0.999982506383019,1.0,0,1
604906290641338752,133.01123726963434,11.776992359684167,19.139249801635746,1.061492919921875,1,1.0,0.9881618626115117,1.0,0,1
604906531159506304,133.00615144346625,11.792891779831061,18.91310310363769,1.057756423950195,1,0.9722222222222222,0.9888866524348993,0.9777770561498543,0,1
604906565519358464,132.98572104377084,11.790265575793764,14.22317600250244,0.4898166656494141,1,1.0,0.9999825056508855,1.0,0,1
604906599878982528,133.00156336021362,11.803782141877234,17.24549674987793,0.6154441833496094,1,0.016666666666666666,0.005647641905247618,0.0,0,0
604906599878983296,132.99490023976676,11.809409747792216,17.366262435913086,0.6985797882080078,1,0.0,0.005648308804156451,0.0,0,0
604906599878983680,132.9949272820713,11.804111229722764,15.329977989196776,0.6048831939697266,1,1.0,0.999982506383019,1.0,0,1
604906599878984192,132.9922254603569,11.8064499753111,18.80192756652832,0.39943695068359375,1,0.0,0.005591512650045236,0.0,0,0
604906599878984832,132.9920200865601,11.804447382046574,15.727015495300293,0.7280912399291992,1,1.0,0.999982506383019,1.0,0,1
604909142499704704,132.75278966075314,11.6781379700168,15.142608642578125,0.5827999114990234,1,1.0,0.9999825060917952,1.0,0,1
604909206923481088,132.73619347840636,11.687757105695407,17.416284561157227,0.7304439544677734,1,0.005555555555555556,8.94949885242936e-05,0.0,0,0
604909206923481216,132.73554220117674,11.68910980754416,17.77000617980957,0.8590202331542969,1,0.005555555555555556,0.0004253374104895799,0.0111119271585781,0,0
604909206923484160,132.7305037700773,11.69437865126176,17.226446151733402,0.8640556335449219,1,0.016666666666666666,0.04120993828535074,0.011111111111111112,0,0
604909417376852096,132.7219077994847,11.700609165162371,20.854373931884766,0.1610088348388672,1,0.0,2.74397809705698e-05,0.005558270438332159,0,0
604909550521159552,132.81494185562178,11.663096132286329,20.035982131958008,1.2439231872558594,1,0.005555555555555556,0.0,0.0055636808519951165,0,0
604909589175354752,132.79708535200277,11.666847676127484,16.665338516235348,1.082315444946289,1,0.0,0.0,0.005562102609361999,0,0
604909589176298112,132.79333251409088,11.66763155993526,18.55000305175781,0.7744846343994141,1,0.0,2.741095895747923e-05,0.0,0,0
604909589176299904,132.78754790384738,11.66019429557375,19.713624954223636,1.1802444458007812,1,0.0,0.00023427134497233486,0.016669133544459654,0,0
604909589177870976,132.79486962131747,11.664127724499213,14.476865768432615,0.5207767486572266,1,1.0,0.9944264945587448,0.9944442526912063,0,1
604909619240334592,132.79359097370622,11.672792756073868,19.343191146850586,1.107034683227539,1,0.9666666666666667,0.9777498945672062,0.9777596939618979,0,1
604909657895767680,132.82930655944386,11.671026649492779,13.576004981994627,0.4482583999633789,1,1.0,0.9999825056640345,1.0,0,1
604909692255500544,132.8440542372361,11.68279263514648,16.95539665222168,0.8348770141601562,1,1.0,0.9998430023770123,1.0,0,1
604909726615245824,132.81511182740422,11.678306399569035,19.609699249267575,1.0485496520996094,1,0.0,0.0,0.0,0,0
