source_id,ra,dec,phot_g_mean_mag,g_rp,qf,F6,F8,F10,mem_prob,Class
573964860909897216,14.143786883649433,85.34885906018144,19.669403076171875,0.8980998992919922,1,0.0,0.005555555555555556,0.0,0,0
573964865205878912,13.971510884396533,85.34839530510602,17.58175277709961,0.699310302734375,1,1.0,0.9944444444444445,0.9944444444444445,0,1
573964929628118400,13.933897241120071,85.35298992926695,19.514795303344727,1.046552658081055,1,0.0,0.0,0.0,0,0
573964929628127104,13.85290904314141,85.36207081944525,19.1892147064209,0.9015846252441406,1,0.0,0.016666666666666666,0.011111111111111112,0,0
573964929628131584,13.853670905543153,85.36541185992574,17.138383865356445,0.6041278839111328,1,0.0,0.0,0.0,0,0
573964933925354624,13.80666238958432,85.36160479442495,19.064105987548828,0.5890102386474609,1,0.0,0.005555555555555556,0.0,0,0
573964933925354752,13.82492316190598,85.3601626964912,18.859128952026367,1.0708332061767578,1,0.0,0.0,0.0,0,0
573964963987880576,13.837226566491204,85.37325840301095,19.66952133178711,0.5526981353759766,1,0.0,0.005555555555555556,0.0,0,0
573964968283956992,13.816969665944665,85.37609650605873,20.290170669555664,0.8612632751464844,1,0.0,0.0,0.0,0,0
573964998348850816,14.171138309842956,85.3631649999284,16.546257019042972,0.5695629119873047,1,0.0,0.0,0.0,0,0
573965002644830464,14.03911829196272,85.37652168389639,16.951812744140625,0.6191577911376953,1,1.0,0.9944444444444445,1.0,0,1
573965067067103360,13.92539381587803,85.37829924295224,19.119802474975586,0.7272415161132812,1,0.0,0.011111111111111112,0.0,0,0
573965067067106432,13.912553097339895,85.38121918577991,19.83464241027832,0.9350299835205078,1,0.0,0.005555555555555556,0.0,0,0
573965067067111424,13.978433107271908,85.38416033954832,18.130592346191406,0.6838436126708984,1,0.0,0.011111111111111112,0.011111111111111112,0,0
573965071364802048,13.9420584099198,85.37985690915448,17.737991333007812,0.5674571990966797,1,0.005555555555555556,0.0,0.0,0,0
573965135786563328,13.600128408704748,85.37145397615942,17.342708587646484,0.6549243927001953,1,1.0,1.0,1.0,0,1
573965140082326016,13.618372221653905,85.3763133733444,17.58424949645996,0.5992431640625,1,0.0,0.0,0.0,0,0
573965140083783040,13.576208502538467,85.37740195333248,17.462934494018555,0.66937255859375,1,1.0,1.0,1.0,0,1
573965140083783168,13.629228489542983,85.37771008734725,16.342277526855472,0.4795351028442383,1,0.0,0.0,0.0,0,0
573965174442386688,13.718433812006106,85.38913251617042,20.550506591796875,1.071523666381836,1,0.0,0.0,0.0,0,0
573965238865818496,13.452735221307485,85.4060645389898,17.614612579345703,0.5514087677001953,1,0.0,0.0,0.0,0,0
573965243162996224,13.5310583722563,85.3943563850209,19.612716674804688,0.8313865661621094,1,0.0,0.0,0.0,0,0
573965243162996992,13.524051535843967,85.39152245512341,16.713493347167972,0.5443916320800781,1,0.0,0.03888888888888889,0.005555555555555556,0,0
573965277522734080,13.716412648768227,85.403516819539,16.631660461425778,0.5809497833251953,1,1.0,1.0,0.9944444444444445,0,1
573965277522734208,13.673321854710714,85.40211607107072,14.953803062438965,0.4449806213378906,1,0.0,0.0,0.011111111111111112,0,0
573965307585302272,13.817445589434914,85.40424655756026,18.48624038696289,0.8268985748291016,1,0.0,0.0,0.0,0,0
573965311882471808,13.719603778470587,85.41200520673061,17.702259063720703,0.5228385925292969,1,0.0,0.011111111111111112,0.0,0,0
573965341945027968,13.58353584173216,85.40033769751882,19.08551025390625,0.9149799346923828,1,1.0,0.9944444444444445,0.9888888888888889,0,1
573965376304785792,13.51420144116898,85.41595474561677,17.90314483642578,0.7117996215820312,1,0.0,0.0,0.0,0,0
573965376304795008,13.491913741457875,85.42502180512828,19.593217849731445,-0.17349624633789062,1,0.005555555555555556,0.011111111111111112,0.0,0,0
573965380602467456,13.648553687837556,85.41247711041652,20.671724319458008,0.8444366455078125,1,0.005555555555555556,0.0,0.0,0,0
573965960420299776,13.358053441184554,85.38707138703099,19.325876235961914,0.5256977081298828,1,0.0,0.005555555555555556,0.0,0,0
573965960420302208,13.355203484451868,85.38958514234848,20.63903045654297,0.3478012084960937,1,0.0,0.0,0.0,0,0
573965960420306688,13.321610579883856,85.3941436502178,19.1269645690918,0.9839973449707032,1,0.9944444444444445,0.9888888888888889,0.9944444444444445,0,1
573965960427722880,13.36907594088177,85.38661665248526,19.59589385986328,1.0703468322753906,1,0.0,0.0,0.0,0,0
573965994780059136,13.350424811375468,85.40594672987324,18.799217224121094,0.8105258941650391,1,0.0,0.005555555555555556,0.0,0,0
573965994780064768,13.398218422446787,85.40884072514382,18.191387176513672,0.4811935424804688,1,0.0,0.0,0.0,0,0
573966033436977280,13.192086465517793,85.40786301314564,16.071352005004886,0.5676717758178711,1,0.005555555555555556,0.0,0.005555555555555556,0,0
573966033436977664,13.184810491622152,85.40366114690272,15.347013473510742,0.5156888961791992,1,1.0,1.0,0.9944444444444445,0,1
573966067795252992,13.159550391480167,85.41687054653562,20.37703514099121,1.2537078857421875,1,0.0,0.0,0.0,0,0
573966067795686528,13.086184310571367,85.42422868996131,20.361141204833984,1.1562633514404297,1,0.005555555555555556,0.0,0.0,0,0
573966097859284096,13.399462296665925,85.41130046599056,18.666603088378906,0.8700237274169922,1,1.0,0.9833333333333333,0.9944444444444445,0,1
573966136514724736,13.44910927549258,85.42822315909764,17.594806671142578,0.6267929077148438,1,0.0,0.0,0.0,0,0
573966166578770048,13.239996903595774,85.42290168783028,19.549367904663086,1.2622966766357422,1,0.005555555555555556,0.0,0.0,0,0
573966166578777984,13.116001046445415,85.43221892948822,18.067821502685547,0.7830867767333984,1,0.9777777777777777,0.9722222222222222,1.0,0,1
573966166578785664,13.14615464804478,85.4378496777165,18.711088180541992,0.4851722717285156,1,0.0,0.005555555555555556,0.016666666666666666,0,0
573966170875049216,13.183368532028735,85.42450787938363,20.62384605407715,0.8260211944580078,1,0.005555555555555556,0.0,0.0,0,0
573966170875988352,13.248684867278474,85.42572000964151,18.374483108520508,-0.24654769897460935,1,0.9833333333333333,0.9555555555555556,1.0,0,1
573966200938531712,13.114609616940315,85.44507140885011,18.24948501586914,0.5380935668945312,1,0.0,0.0,0.0,0,0
573966205235666816,13.211804754393599,85.43691887000573,14.626786231994627,0.6867256164550781,1,1.0,0.9944444444444445,0.9944444444444445,0,1
